 _   _                           _        _     _     _   
kali-system-gui/kali-rolling 2025.2.10 amd64 [upgradable from: 2025.2.3]
kali-themes-common/kali-rolling 2025.2.5 all [upgradable from: 2025.2.1]
kali-themes/kali-rolling 2025.2.5 all [upgradable from: 2025.2.1]
kali-tools-top10/kali-rolling 2025.2.10 amd64 [upgradable from: 2025.2.3]
keyboard-configuration/kali-rolling 1.237 all [upgradable from: 1.236]
kismet-capture-common/kali-rolling 2023.07.R2-0kali2 all [upgradable from: 2023.07.R2-0kali1]
kismet-capture-hak5-wifi-coconut/kali-rolling 2023.07.R2-0kali2 amd64 [upgradable from: 2023.07.R2-0kali1]
kismet-capture-linux-bluetooth/kali-rolling 2023.07.R2-0kali2 amd64 [upgradable from: 2023.07.R2-0kali1]
kismet-capture-linux-wifi/kali-rolling 2023.07.R2-0kali2 amd64 [upgradable from: 2023.07.R2-0kali1]
kismet-capture-nrf-51822/kali-rolling 2023.07.R2-0kali2 amd64 [upgradable from: 2023.07.R2-0kali1]
kismet-capture-nrf-52840/kali-rolling 2023.07.R2-0kali2 amd64 [upgradable from: 2023.07.R2-0kali1]
kismet-capture-nrf-mousejack/kali-rolling 2023.07.R2-0kali2 amd64 [upgradable from: 2023.07.R2-0kali1]
kismet-capture-nxp-kw41z/kali-rolling 2023.07.R2-0kali2 amd64 [upgradable from: 2023.07.R2-0kali1]
kismet-capture-rz-killerbee/kali-rolling 2023.07.R2-0kali2 amd64 [upgradable from: 2023.07.R2-0kali1]
kismet-capture-ti-cc-2531/kali-rolling 2023.07.R2-0kali2 amd64 [upgradable from: 2023.07.R2-0kali1]
kismet-capture-ti-cc-2540/kali-rolling 2023.07.R2-0kali2 amd64 [upgradable from: 2023.07.R2-0kali1]
kismet-capture-ubertooth-one/kali-rolling 2023.07.R2-0kali2 amd64 [upgradable from: 2023.07.R2-0kali1]
kismet-core/kali-rolling 2023.07.R2-0kali2 amd64 [upgradable from: 2023.07.R2-0kali1]
kismet-logtools/kali-rolling 2023.07.R2-0kali2 amd64 [upgradable from: 2023.07.R2-0kali1]
kismet/kali-rolling 2023.07.R2-0kali2 amd64 [upgradable from: 2023.07.R2-0kali1]
kmod/kali-rolling 34.2-2kali1 amd64 [upgradable from: 34.2-2]
libapt-pkg7.0/kali-rolling 3.0.1+kali1 amd64 [upgradable from: 3.0.0+kali1]
libarchive13t64/kali-rolling 3.7.4-3 amd64 [upgradable from: 3.7.4-1.1]
libatk-bridge2.0-0t64/kali-rolling 2.56.2-1 amd64 [upgradable from: 2.56.1-2]
libatk1.0-0t64/kali-rolling 2.56.2-1 amd64 [upgradable from: 2.56.1-2]
libatspi2.0-0t64/kali-rolling 2.56.2-1 amd64 [upgradable from: 2.56.1-2]
libavif16/kali-rolling 1.2.1-1.1 amd64 [upgradable from: 1.2.1-1]
libbpf1/kali-rolling 1:1.5.0-3 amd64 [upgradable from: 1:1.5.0-2]
libbrlapi0.8/kali-rolling 6.7-3.1 amd64 [upgradable from: 6.7-1+b3]
libcrypto++8t64/kali-rolling 8.9.0-2 amd64 [upgradable from: 8.9.0-1.1+b1]
libcryptsetup12/kali-rolling 2:2.7.5-2 amd64 [upgradable from: 2:2.7.5-1]
libcurl3t64-gnutls/kali-rolling 8.13.0-5 amd64 [upgradable from: 8.13.0-1]
libcurl4t64/kali-rolling 8.13.0-5 amd64 [upgradable from: 8.13.0-1]
libdevmapper1.02.1/kali-rolling 2:1.02.205-2 amd64 [upgradable from: 2:1.02.205-1]
libegl-mesa0/kali-rolling 25.0.5-1 amd64 [upgradable from: 25.0.4-1]
libffi-dev/kali-rolling 3.4.8-2 amd64 [upgradable from: 3.4.7-1]
libffi8/kali-rolling 3.4.8-2 amd64 [upgradable from: 3.4.7-1]
libfreerdp-client3-3/kali-rolling 3.15.0+dfsg-2.1kali1 amd64 [upgradable from: 3.15.0+dfsg-2]
libfreerdp3-3/kali-rolling 3.15.0+dfsg-2.1kali1 amd64 [upgradable from: 3.15.0+dfsg-2]
libfuse3-4/kali-rolling 3.17.2-1 amd64 [upgradable from: 3.17.1+git250416-1]
libgbm1/kali-rolling 25.0.5-1 amd64 [upgradable from: 25.0.4-1]
libgck-1-0/kali-rolling 3.41.2-3 amd64 [upgradable from: 3.41.2-2]
libgcr-base-3-1/kali-rolling 3.41.2-3 amd64 [upgradable from: 3.41.2-2]
libgcr-ui-3-1/kali-rolling 3.41.2-3 amd64 [upgradable from: 3.41.2-2]
libgd3/kali-rolling 2.3.3-13 amd64 [upgradable from: 2.3.3-12+b1]
libgl1-mesa-dri/kali-rolling 25.0.5-1 amd64 [upgradable from: 25.0.4-1]
libglib2.0-0t64/kali-rolling 2.84.1-2 amd64 [upgradable from: 2.84.1-1]
libglib2.0-bin/kali-rolling 2.84.1-2 amd64 [upgradable from: 2.84.1-1]
